序号,卦名,卦符,篇章
1,乾,䷀,上经
2,坤,䷁,上经
3,屯,䷂,上经
4,蒙,䷃,上经
5,需,䷄,上经
6,讼,䷅,上经
7,师,䷆,上经
8,比,䷇,上经
9,小畜,䷈,上经
10,履,䷉,上经
11,泰,䷊,上经
12,否,䷋,上经
13,同人,䷌,上经
14,大有,䷍,上经
15,谦,䷎,上经
16,豫,䷏,上经
17,随,䷐,上经
18,蛊,䷑,上经
19,临,䷒,上经
20,观,䷓,上经
21,噬嗑,䷔,上经
22,贲,䷕,上经
23,剥,䷖,上经
24,复,䷗,上经
25,无妄,䷘,上经
26,大畜,䷙,上经
27,颐,䷚,上经
28,大过,䷛,上经
29,坎,䷜,上经
30,离,䷝,上经
31,咸,䷞,下经
32,恒,䷟,下经
33,遁,䷠,下经
34,大壮,䷡,下经
35,晋,䷢,下经
36,明夷,䷣,下经
37,家人,䷤,下经
38,睽,䷥,下经
39,蹇,䷦,下经
40,解,䷧,下经
41,损,䷨,下经
42,益,䷩,下经
43,夬,䷪,下经
44,姤,䷫,下经
45,萃,䷬,下经
46,升,䷭,下经
47,困,䷮,下经
48,井,䷯,下经
49,革,䷰,下经
50,鼎,䷱,下经
51,震,䷲,下经
52,艮,䷳,下经
53,渐,䷴,下经
54,归妹,䷵,下经
55,丰,䷶,下经
56,旅,䷷,下经
57,巽,䷸,下经
58,兑,䷹,下经
59,涣,䷺,下经
60,节,䷻,下经
61,中孚,䷼,下经
62,小过,䷽,下经
63,既济,䷾,下经
64,未济,䷿,下经
